
Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  34    1.997158e-01   1.184037e+00   1.000006e-07   1.000007e-08   36        19        5         
  35    1.997158e-01   1.184037e+00   1.000007e-08   2.500017e-08   37        20        0         
  36    1.997158e-01   1.184037e+00   2.500017e-08   2.500017e-09   38        20        5         
  37    1.997158e-01   1.184037e+00   2.500017e-09   6.250043e-09   39        21        0         
Optimization Terminated with Status: Step Tolerance Met

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.011330e+00   2.231545e+01                  2.231545e+01   
  1     1.011330e+00   2.231545e+01   2.231545e+01   4.057355e+00   3         1         5         
  2     1.011330e+00   2.231545e+01   4.057355e+00   4.418902e-01   4         1         5         
  3     1.011330e+00   2.231545e+01   4.418902e-01   4.458632e-02   5         1         5         
  4     4.092353e-01   9.237788e+00   4.458632e-02   4.458632e-02   6         2         0         
  5     2.793732e-01   4.336299e+00   2.904429e-02   1.114658e-01   7         3         0         
  6     2.477118e-01   2.415076e+00   1.249433e-02   2.786645e-01   8         4         0         
  7     2.477118e-01   2.415076e+00   1.284939e-02   3.212348e-03   9         4         5         
  8     2.407881e-01   1.990131e+00   3.212348e-03   8.030871e-03   10        5         0         
  9     2.275818e-01   1.778876e+00   8.030871e-03   2.007718e-02   11        6         0         
  10    2.275818e-01   1.778876e+00   2.007718e-02   2.985924e-03   12        6         5         
  11    2.229431e-01   1.525444e+00   2.985924e-03   7.464811e-03   13        7         0         
  12    2.229431e-01   1.525444e+00   7.464811e-03   8.592999e-04   14        7         5         
  13    2.216503e-01   1.492611e+00   8.592999e-04   2.148250e-03   15        8         0         
  14    2.185578e-01   1.429220e+00   2.148250e-03   5.370625e-03   16        9         0         
  15    2.185578e-01   1.429220e+00   5.370625e-03   5.793625e-04   17        9         5         
  16    2.177393e-01   1.401902e+00   5.793625e-04   1.448406e-03   18        10        0         
  17    2.177393e-01   1.401902e+00   1.448406e-03   1.471560e-04   19        10        5         
  18    2.175340e-01   1.395961e+00   1.471560e-04   3.678901e-04   20        11        0         
  19    2.170239e-01   1.385526e+00   3.678901e-04   9.197253e-04   21        12        0         
  20    2.170239e-01   1.385526e+00   9.197253e-04   9.276564e-05   22        12        5         
  21    2.168956e-01   1.381542e+00   9.276564e-05   2.319141e-04   23        13        0         
  22    2.168956e-01   1.381542e+00   2.319141e-04   2.324686e-05   24        13        5         
  23    2.168635e-01   1.381034e+00   2.324686e-05   5.811716e-05   25        14        0         
  24    2.167834e-01   1.379795e+00   5.811716e-05   1.452929e-04   26        15        0         
  25    2.167834e-01   1.379795e+00   1.452929e-04   1.455177e-05   27        15        5         
  26    2.167633e-01   1.379485e+00   1.455177e-05   3.637942e-05   28        16        0         
  27    2.167131e-01   1.378421e+00   3.637942e-05   9.094854e-05   29        17        0         
  28    2.167131e-01   1.378421e+00   9.094854e-05   9.102585e-06   30        17        5         
  29    2.167006e-01   1.378233e+00   9.102585e-06   2.275646e-05   31        18        0         
  30    2.166692e-01   1.377765e+00   2.275646e-05   5.689116e-05   32        19        0         
  31    2.166692e-01   1.377765e+00   5.689116e-05   5.691282e-06   33        19        5         
  32    2.166692e-01   1.377765e+00   5.691282e-06   5.691498e-07   34        19        5         
  33    2.166685e-01   1.377754e+00   5.691498e-07   1.422875e-06   35        20        0         
  34    2.166685e-01   1.377754e+00   1.422875e-06   1.422888e-07   36        20        5         
  35    2.166683e-01   1.377751e+00   1.422888e-07   3.557220e-07   37        21        0         
  36    2.166678e-01   1.377743e+00   3.557220e-07   8.893051e-07   38        22        0         
  37    2.166678e-01   1.377743e+00   8.893051e-07   8.893104e-08   39        22        5         
  38    2.166676e-01   1.377742e+00   8.893104e-08   2.223276e-07   40        23        0         
  39    2.166676e-01   1.377742e+00   2.223276e-07   2.223279e-08   41        23        5         
  40    2.166676e-01   1.377741e+00   2.223279e-08   5.558198e-08   42        24        0         
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.147697e+00   2.494210e+01                  2.494210e+01   
  1     1.147697e+00   2.494210e+01   2.494210e+01   4.534928e+00   3         1         5         
  2     1.147697e+00   2.494210e+01   4.534928e+00   4.939031e-01   4         1         5         
  3     1.147697e+00   2.494210e+01   4.939031e-01   4.983437e-02   5         1         5         
  4     4.324314e-01   1.009024e+01   4.983437e-02   4.983437e-02   6         2         0         
  5     2.937295e-01   5.477401e+00   2.887201e-02   1.245859e-01   7         3         0         
  6     2.565978e-01   2.621178e+00   1.365093e-02   3.114648e-01   8         4         0         
  7     2.565978e-01   2.621178e+00   9.779674e-03   2.444919e-03   9         4         5         
  8     2.507099e-01   2.252658e+00   2.444919e-03   6.112296e-03   10        5         0         
  9     2.396402e-01   1.971372e+00   6.112296e-03   1.528074e-02   11        6         0         
  10    2.396402e-01   1.971372e+00   1.528074e-02   2.313213e-03   12        6         5         
  11    2.396402e-01   1.971372e+00   2.313213e-03   2.769197e-04   13        6         5         
  12    2.391021e-01   1.926986e+00   2.769197e-04   6.922992e-04   14        7         0         
  13    2.377863e-01   1.877246e+00   6.922992e-04   1.730748e-03   15        8         0         
  14    2.377863e-01   1.877246e+00   1.730748e-03   1.765544e-04   16        8         5         
  15    2.374564e-01   1.856193e+00   1.765544e-04   4.413859e-04   17        9         0         
  16    2.374564e-01   1.856193e+00   4.413859e-04   4.455088e-05   18        9         5         
  17    2.373737e-01   1.854965e+00   4.455088e-05   1.113772e-04   19        10        0         
  18    2.371678e-01   1.845602e+00   1.113772e-04   2.784430e-04   20        11        0         
  19    2.371678e-01   1.845602e+00   2.784430e-04   2.795799e-05   21        11        5         
  20    2.371678e-01   1.845602e+00   2.795799e-05   2.796940e-06   22        11        5         
  21    2.371626e-01   1.845525e+00   2.796940e-06   6.992351e-06   23        12        0         
  22    2.371497e-01   1.845334e+00   6.992351e-06   1.748088e-05   24        13        0         
  23    2.371497e-01   1.845334e+00   1.748088e-05   1.748292e-06   25        13        5         
  24    2.371465e-01   1.845286e+00   1.748292e-06   4.370729e-06   26        14        0         
  25    2.371384e-01   1.841527e+00   4.370729e-06   1.092682e-05   27        15        0         
  26    2.371384e-01   1.841527e+00   1.092682e-05   1.094971e-06   28        15        5         
  27    2.371364e-01   1.841497e+00   1.094971e-06   2.737428e-06   29        16        0         
  28    2.371314e-01   1.841422e+00   2.737428e-06   6.843570e-06   30        17        0         
  29    2.371314e-01   1.841422e+00   6.843570e-06   6.843885e-07   31        17        5         
  30    2.371301e-01   1.841403e+00   6.843885e-07   1.710971e-06   32        18        0         
  31    2.371269e-01   1.841356e+00   1.710971e-06   4.277428e-06   33        19        0         
  32    2.371269e-01   1.841356e+00   4.277428e-06   4.277552e-07   34        19        5         
  33    2.371262e-01   1.841344e+00   4.277552e-07   1.069388e-06   35        20        0         
  34    2.371262e-01   1.841344e+00   1.069388e-06   1.069396e-07   36        20        5         
  35    2.371260e-01   1.841341e+00   1.069396e-07   2.673489e-07   37        21        0         
  36    2.371255e-01   1.841333e+00   2.673489e-07   6.683723e-07   38        22        0         
  37    2.371255e-01   1.841333e+00   6.683723e-07   6.683753e-08   39        22        5         
  38    2.371253e-01   1.841332e+00   6.683753e-08   1.670938e-07   40        23        0         
  39    2.371250e-01   1.841327e+00   1.670938e-07   4.177345e-07   41        24        0         
  40    2.371250e-01   1.841327e+00   4.177345e-07   4.177357e-08   42        24        5         
Optimization Terminated with Status: Iteration Limit Exceeded

Dogleg Trust-Region Solver with Limited-Memory BFGS Hessian Approximation
  iter  value          gnorm          snorm          delta          #fval     #grad     tr_flag   
  0     1.285461e+00   2.733135e+01                  2.733135e+01   
  1     1.285461e+00   2.733135e+01   2.733135e+01   4.969336e+00   3         1         5         
  2     1.285461e+00   2.733135e+01   4.969336e+00   5.412148e-01   4         1         5         
  3     1.285461e+00   2.733135e+01   5.412148e-01   5.460808e-02   5         1         5         
  4     4.564707e-01   1.099876e+01   5.460808e-02   5.460808e-02   6         2         0         
  5     3.091408e-01   6.196328e+00   2.910949e-02   1.365202e-01   7         3         0         
  6     2.652793e-01   2.878074e+00   1.380678e-02   3.413005e-01   8         4         0         
